12
Hydraulics
Chemistry, Tracer test
Geology, Minerals
Gravimetry, Gravimetric measurements
Logging, Logs, Downhole methods, Drilling
Magnetotellurics, MT
Geodesy, InSAR
Fracture caracterisation, Fracture
Tectonics
Seismics, Seismic reflection, VSP, Vertical Seismic Profile
Modelisation
Seismology, Earthquakes, Seismic sources, Micro-seismicity
